parts,proc,accel
1000,1,0.425938
1000,2,0.756244
1000,3,0.979473
1000,4,0.533122
1000000,1,1.02024
1000000,2,2.07672
1000000,3,3.07397
1000000,4,2.66325
100000000,1,1.03132
100000000,2,2.01999
100000000,3,3.02487
100000000,4,4.23378
