parts,proc,accel
1000,1,0.621213
1000,2,0.517842
1000,3,0.574195
1000,4,0.275596
1000,5,0.190965
1000,6,0.229342
1000,7,0.229679
1000,8,0.194867
1000000,1,1.00014
1000000,2,1.99796
1000000,3,3.01775
1000000,4,3.91648
1000000,5,4.89697
1000000,6,5.51727
1000000,7,6.36035
1000000,8,6.80965
100000000,1,0.998431
100000000,2,1.99941
100000000,3,3.01155
100000000,4,4.0012
100000000,5,4.94066
100000000,6,5.64205
100000000,7,5.80609
100000000,8,7.28327
